Seq,ID,Channel,SYRS_ID,Category,Requirement,Source_ID,Source_Title,Distilled_Evidence,Similarity,Label_Relevant_YN,Notes
1,G-SYRS.0253,GitHub,SYRS.0253,Diagnostics_DEM,"""The System shall set the 'Solar_Sensor_Electronic_Fault' to 'Active' (TestFailed bit = 1) within 200 ms upon detecting either a 'Short_Circuit' or an 'Open_Load' condition on any connected solar receiver channel",pylessard/python-udsoncan#171,the logging module and can data are inconsistent,"trigger:UDS service 0x10 (DiagnosticSessionControl) with subfunction 0x03 (extendedDiagnosticSession), under ISO-TP transport, after successful ECUReset and ReadDataByIdentifier | behavior:Expected positive response (0x50 0x03) or negative response (e.g., 0x7F 0x10 NRC) within P2 server timeout (15 s); instead, no ISO-TP frame received — silent absence of response | fault_mode:timeout violation",0.553,N,
2,N-SYRS.0262_A,NHTSA,SYRS.0262_A,Functional_Safety,"""The System shall detect an 'Overtemperature_Condition'. Condition: The environmental temperature sensor input is strictly greater than [TEMP_THRESHOLD_MAX] (85.0°C)",11598436,HONDA CIVIC 2022 [ELECTRICAL SYSTEM],"trigger:vehicle operation in ambient temperatures above 100°F (37.8°C), specifically during AC system demand | behavior:AC system expected to maintain continuous airflow and cooling; instead, it ceased blowing air entirely and remained non-functional even after ignition cycle (off/on) — no recovery without service intervention | fault_mode:state-stuck",0.5712,N,
3,N-SYRS.0154,NHTSA,SYRS.0154,Body_Control,The Rain Sensor shall identify a 'Wiper Crossing Event' (defined as a transient signal drop of at least 20% amplitude within a 50 ms window) and shall report this event within 10 ms of the event's completion,11653413,TOYOTA COROLLA 2022 [VISIBILITY/WIPER],trigger:rainy weather condition requiring wiper activation | behavior:wipers were expected to operate continuously in response to rain sensor input or driver command but stopped functioning entirely | fault_mode:no-response,0.636,N,
4,G-SYRS.0272_A,GitHub,SYRS.0272_A,Diagnostics_DCM,"""The negative response frame for the 'READ' service ($22) shall be structured as [0x02, 0x03, 0x7F, 0x22, NRC, 0xFF, 0xFF, 0xFF], where NRC must be one of {0x22, 0x31, 0x78}, and 0xFF is mandatory padding",pylessard/python-udsoncan#234,Unable to read continuous frames,"trigger:UDS service 0x22 (ReadDataByIdentifier) with DID 0xFD05, expecting multi-frame response over ISO-TP | behavior:Expected: stack to correctly reassemble continuous frames (CF) starting from first frame (FF) and flow control (FC) handling; Observed: continuous frames received but not properly read/reassembled by the client stack — likely missing or incorrect CF sequence handling or timeout/ab",0.673,N,
5,N-SYRS.0378_C_A,NHTSA,SYRS.0378_C_A,Functional_Safety,"""The system shall implement a safety override that forces 'ESL_OperationalModeSts.info' to 'Ignition_On' if ALL the following conditions are met simultaneously: 1) 'BCM_COMMAND' indicates 'MC Failure', 2) 'ENGINE1' message is Missing (Timeout > Calibrated_Limit), 3) 'INT.Info' is 'Active",11609213,TOYOTA CAMRY 2021 [ENGINE],"trigger:activating the air conditioning system while driving | behavior:ECU should maintain normal engine thermal management and not trigger master warning or 'Engine Maintenance Required' alert; instead, it erroneously activates both warnings indicating a perceived critical fault | fault_mode:false-activation",0.6192,N,
6,N-SYRS.0797_C_A,NHTSA,SYRS.0797_C_A,IO_HMI,"""IF the 'Audio_Power_On' condition (defined in SYRS_60027135) is TRUE AND the 'ViewController' signals are detected as unavailable (Timeout > 500ms or SNA), THEN the FES shall display the 'Volume_IdleView",11688814,TOYOTA CAMRY 2022 [ELECTRICAL SYSTEM],trigger:power-on or user interaction with stereo interface | behavior:stereo menu display was expected to render and respond to inputs but remained non-functional | fault_mode:no-response,0.5835,N,
7,N-SYRS.0250_A,NHTSA,SYRS.0250_A,Body_Control,"Upon detection of any Light Sensor ASIC error (e.g., ASIC_LS2_ERR), the system shall set the LIN signal 'RLS_Qualifizierungsbit' to 0 (Invalid/Error)",11668956,TOYOTA CAMRY 2021 [AIR BAGS],trigger:starting the vehicle | behavior:air bag warning light should not illuminate during startup if system is functional; it illuminated indicating a fault condition | fault_mode:sensor-error,0.5773,N,
8,G-SYRS.1106_C,GitHub,SYRS.1106_C,Diagnostics_DEM,"""The System shall latch the 'Watchdog_Reset_Fault' status (TestFailed bit = 1) upon detection. The fault status shall remain latched for the entire duration of the current 'Operation_Cycle' and shall only be reset (TestFailed bit = 0) upon the completion of a valid 'Ignition_OFF_to_ON' transition",pylessard/python-can-isotp#76,Listener/Notifier and UDS command,trigger:CAN bus logger/notifier active during UDS ECU Reset service execution over ISO-TP | behavior:Expected: UDS client receives timely response to ECU Reset (SID 0x11); Observed: Global request timeout (2.0s) due to missed or delayed ISO-TP frames caused by bus contention or timing disruption from concurrent logging/notifying | fault_mode:timing violation,0.5521,N,
9,N-SYRS.0058_C_A,NHTSA,SYRS.0058_C_A,System_State,"""If the system enters 'Over_Voltage_Initialization_State' (Voltage > 18.0V per SYRS_XYZ), the ECU SHALL immediately suspend all CAN bus transmissions (Bus-Off mode) to prevent high-voltage signal interference",11639587,"HONDA CIVIC 2022 [LANE DEPARTURE,FORWARD COLLISION AVOIDANCE]","trigger:vehicle startup after normal daytime operation | behavior:ECU systems (Lane Keeping Assist, Collision Mitigation Braking, Road Departure Mitigation, Auto High Beam, Adaptive Cruise Control) were expected to initialize and operate normally; instead, all five related warning lights illuminated indicating system deactivation or fault detection | fault_mode:state-stuck",0.6137,N,
10,N-SYRS.0235_B_A,NHTSA,SYRS.0235_B_A,System_State,"""[Variant: NXP Microcontroller] The system shall deactivate the 'Under Voltage Fault' when the KL30 voltage rises strictly above the upper tolerance limit of the threshold (8.3 V + 5% = 8.715 V)",11711793,TOYOTA COROLLA 2022 [POWER TRAIN],"trigger:Engine coolant bypass valve B control circuit operation during vehicle runtime | behavior:ECU was expected to correctly monitor and control the engine coolant bypass valve B; instead, it reported 'circuit high' fault (P26AE) indicating an open or shorted condition, causing drive start control malfunction warning and potential loss of proper engine thermal management | fault_mode:sensor-err",0.5635,N,
