Row_Number,Channel,SYRS_ID,Category,Generated_VC,Primary_Rater,P_C,P_N,P_U,P_Notes,Secondary_Rater,S_C,S_N,S_U,S_Notes,E1_Correctness_1to5,E1_Novelty_YN,E1_Usefulness_YN,E1_Scope_ECU_Net_HW_OOS,E1_Notes
002,A-<SIG>,SYRS.0217_A_1,Communication_Stack,"- VC_Item: |     VC_ID: VC_SYRS.0217_A_1.NEW.1 |     Title: ""Verify LIN Frame Response Timing During Firmware Flashing"" |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Initiate a LIN firmware flashing sequence. |         2. Send a diagnostic request (LIN frame ID 0x3C). |         3. Verify that the ECU responds with a diagnostic <SIG> (LIN frame ID 0x3D) within the <SIG> UDS-over-LIN timing requirements. |         4. Use a LIN protocol analyzer to confirm the presence and correctness of the 0x3D frame. |       Fail: | |         - The ECU does not respond with a 0x3D frame. |         - The 0x3D frame is not received within the <SIG> timing window. |     Issue_Source: ecubus/<SIG>-Pro#218 |  | - VC_Item: |     VC_ID: VC_SYRS.0217_A_1.NEW.2 |     Title: ""Verify LIN Frame Reception and Decoding in <SIG>"" |     Method: |       Type: Dynamic |       Technique: Equivalence Partitioning |     Pass_Fail_Criteria: |       Pass: | |         1. Set up LIN bus communication using Vector VN1611 driver with <SIG> v0.8.46 at 19200 bps baudrate and 5 ms timebase. |         2. Transmit a valid LIN <SIG> frame from the ECU. |         3. Use an oscilloscope to confirm the correct transmission of the LIN <SIG> frame. |         4. Verify that <SIG> successfully captures and decodes the RX frame without reporting a 'message error'. |       Fail: | |         - <SIG> reports a 'message error' or fails to capture/decode the RX frame. |         - The RX frame is not correctly displayed in <SIG>. |     Issue_Source: ecubus/<SIG>-Pro#167",E2,5,N,N,Semantic clone of Golden VC. Identical test path.,E3,3,Y,Y,<SIG> issue-based fault injection; core SYRS criterion preserved,5,N,N,Network,E1:Type2-Duplicate-Reject|follow-E2|Semantic clone of Golden VC. Identical test path.
004,A-<SIG>,SYRS.0693_A,Communication_Stack,"- VC_Item: |     VC_ID: VC_SYRS.0693_A.NEW.1 |     Title: ""Verify Bus Initialization Latency with <SIG> Logging/Notifying"" |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Place the FES in a restricted communication state (e.g., disabled Tx/Rx). |         2. Enable a CAN bus logger/notifier to simulate concurrent logging. |         3. Send UDS 0x28 with <SIG> = 0x00 (<SIG>) (Time T0). |         4. Monitor the bus for the first periodic message transmission/successful <SIG> to a diagnostic request (T1). |         5. Verify Delta (T1 - T0) <= <SIG_2> (e.g., 150 ms). |       Fail: | |         - Bus initialization time exceeds the maximum allowed time. |         - Bus communication remains non-operational. |     Issue_Source: pylessard/python-can-isotp#76 |  | - VC_Item: |     VC_ID: VC_SYRS.0693_A.NEW.2 |     Title: ""Verify Bus Initialization Latency with Non-Standard <SIG> Values"" |     Method: |       Type: Dynamic |       Technique: Boundary Value Analysis |     Pass_Fail_Criteria: |       Pass: | |         1. Place the FES in a restricted communication state (e.g., disabled Tx/Rx). |         2. Send UDS 0x28 with <SIG> = 0x80 (<SIG>) (Time T0). |         3. Monitor the bus for the first periodic message transmission/successful <SIG> to a diagnostic request (T1). |         4. Verify Delta (T1 - T0) <= <SIG_2> (e.g., 150 ms). |       Fail: | |         - Bus initialization time exceeds the maximum allowed time. |         - Bus communication remains non-operational. |         - The ECU rejects the UDS 0x28 request with <SIG> = 0x80. |     Issue_Source: pylessard/python-udsoncan#96",E2,2,Y,N,Requires physical pin disconnection while expecting logical NACK. <SIG>ly impossible.,E3,3,Y,Y,<SIG> operation / bus load; core SYRS timing preserved under load,2,Y,N,Network,E1:Type1-<SIG>-Reject|follow-E2|Requires physical pin disconnection while expecting logical 
007,A-<SIG>,SYRS.0586_B,Communication_Stack,"- VC_Item: |     VC_ID: VC_SYRS.0586_B.NEW.1 |     Title: Verify Response Latency with Multiple Pending Responses |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Trigger the '<SIG_3>' (Time T0) under valid conditions. |         2. Simulate a scenario where the ECU sends multiple 0x78 (<SIG>-<SIG>) NRCs before sending the final <SIG>. |         3. Measure Time T1 when the final <SIG> begins. |         4. Verify Delta (T1 - T0) ≤ 50 ms, considering the cumulative time for all 0x78 NRCs and the final <SIG>. |       Fail: | |         - Latency exceeds 50 ms, even with multiple 0x78 NRCs. |     Issue_Source: pylessard/python-udsoncan#126 |  | - VC_Item: |     VC_ID: VC_SYRS.0586_B.NEW.2 |     Title: Verify Response Latency with Delayed Positive Response |     Method: |       Type: Dynamic |       Technique: Boundary Value Analysis |     Pass_Fail_Criteria: |       Pass: | |         1. Trigger the '<SIG_3>' (Time T0) under valid conditions. |         2. Simulate a scenario where the ECU delays the positive <SIG> by a small margin (e.g., 49 ms). |         3. Measure Time T1 when the delayed positive <SIG> begins. |         4. Verify Delta (T1 - T0) ≤ 50 ms. |       Fail: | |         - Latency exceeds 50 ms, even with a slightly delayed positive <SIG>. |     Issue_Source: pylessard/python-udsoncan#107",E2,1,N,N,Hallucinated UDS service 0x99. Not defined in ISO 14229.,E3,3,Y,Y,<SIG> issue-based fault injection; core SYRS criterion preserved,1,N,N,Network,E1:Type1-<SIG>-Reject|follow-E2|Hallucinated UDS service 0x99. Not defined in ISO 14229.
009,A-<SIG>,SYRS.0458_B_B,Communication_Stack,"- VC_Item: |     VC_ID: VC_SYRS.0458_B_B.NEW.1 |     Title: ""Verify Transmission Latency with STmin Violation (Timing)"" |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Trigger the last condition (timer expiry) at Time T0. |         2. Inject a fault to simulate an incorrect STmin value (e.g., STmin = 0) in the ISO-TP transport layer. |         3. Measure Time T1 when the '<SIG_4>' message transmission begins. |         4. Verify Delta (T1 - T0) ≤ 100ms, despite the injected STmin fault. |       Fail: | |         - Latency exceeds 100ms due to the injected STmin fault. |     Issue_Source: pylessard/python-can-isotp#101 |  | - VC_Item: |     VC_ID: VC_SYRS.0458_B_B.NEW.2 |     Title: ""Verify Transmission Latency with Fixed Inter-Frame Delay (Timing)"" |     Method: |       Type: Dynamic |       Technique: Performance Testing |     Pass_Fail_Criteria: |       Pass: | |         1. Trigger the last condition (timer expiry) at Time T0. |         2. Simulate a fixed inter-frame delay of ~150ms, as observed in the issue, by using a <SIG> on Windows. |         3. Measure Time T1 when the '<SIG_4>' message transmission begins. |         4. Verify Delta (T1 - T0) ≤ 100ms, despite the simulated fixed inter-frame delay. |       Fail: | |         - Latency exceeds 100ms due to the simulated fixed inter-frame delay. |     Issue_Source: pylessard/python-udsoncan#237",E2,4,N,Y,Lacks novelty but useful as a <SIG> regression test.,E3,3,Y,Y,ISO 15765-2 edge case; core timing/parameter preserved,4,N,Y,Network,E1:Type2-Duplicate-Reject|follow-E2|Lacks novelty but useful as a <SIG> regression test.
011,A-<SIG>,SYRS.0460_B_B,Communication_Stack,"- VC_Item: |     VC_ID: VC_SYRS.0460_B_B.NEW.1 |     Title: Verify Transmission Latency with System Load |     Method: |       Type: Dynamic |       Technique: Stress Testing |     Pass_Fail_Criteria: |       Pass: | |         1. Trigger the last condition (e.g., timer expiry) at Time T0. |         2. Simultaneously introduce a high system load (e.g., CPU, I/O, or memory stress). |         3. Measure Time T1 when the '<SIG_4>' message transmission begins. |         4. Verify Delta (T1 - T0) ≤ 10 ms. |       Fail: | |         - Latency exceeds 10 ms under high system load. |     Issue_Source: hardbyte/python-can#1176 |  | - VC_Item: |     VC_ID: VC_SYRS.0460_B_B.NEW.2 |     Title: Verify Transmission Latency with Task Recreation |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Trigger the last condition (e.g., timer expiry) at Time T0. |         2. Recreate the send_periodic task within a tight loop, simulating a race condition. |         3. Measure Time T1 when the '<SIG_4>' message transmission begins. |         4. Verify Delta (T1 - T0) ≤ 10 ms. |       Fail: | |         - Latency exceeds 10 ms due to task recreation. |     Issue_Source: hardbyte/python-can#1290",E2,2,Y,N,Tests an undefined behavior in the routing activation payload.,E3,3,Y,Y,<SIG> issue-based fault injection; core SYRS criterion preserved,2,Y,N,Network,E1:Type1-<SIG>-Reject|follow-E2|Tests an undefined behavior in the routing activation payloa
013,A-<SIG>,SYRS.0459_B_B,Communication_Stack,"- VC_Item: |     VC_ID: VC_SYRS.0459_B_B.NEW.1 |     Title: ""Verify NACK Response in Presence of CAN Bus Error Frames"" |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Inject a series of CAN bus error frames on the bus. |         2. Trigger the '<SIG_10>' state transition. |         3. Capture the '<SIG_4>' message (Time T1). |         4. Verify (T1 - T0) <= 100 ms AND NACK == 0x0E. |       Fail: | |         - Incorrect NACK value or transmission delay post-timeout > 100 ms. |         - No '<SIG_4>' message received within 100 ms. |     Issue_Source: hardbyte/python-can#1488 |  | - VC_Item: |     VC_ID: VC_SYRS.0459_B_B.NEW.2 |     Title: ""Verify NACK Response with <SIG> Disconnection of CAN Wires"" |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. <SIG>ly disconnect the CAN wires. |         2. Trigger the '<SIG_10>' state transition. |         3. Capture the '<SIG_4>' message (Time T1). |         4. Verify (T1 - T0) <= 100 ms AND NACK == 0x0E. |       Fail: | |         - Incorrect NACK value or transmission delay post-timeout > 100 ms. |         - No '<SIG_4>' message received within 100 ms. |     Issue_Source: hardbyte/python-can#2060",E2,5,N,N,Exact duplication of existing Golden VC timing requirements.,E3,3,Y,Y,<SIG> disconnection fault injection; core timing criterion preserved,5,N,N,Network,E1:Type2-Duplicate-Reject|follow-E2|Exact duplication of existing Golden VC timing requirements.
017,A-<SIG>,SYRS.0076_B,Communication_Stack,"- VC_Item: |     VC_ID: VC_SYRS.0076_B.NEW.1 |     Title: Verify <SIG_14> Notification When Flow Control is Disabled |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Configure the ECU to disable mandatory Flow Control (FC) frame waiting during segmented transmission. |         2. Send a First Frame (FF) to the ECU. |         3. Ensure no FC frames are sent by the receiver. |         4. Measure the time until the ECU aborts the transmission and issues an <SIG_14> notification. |         5. Verify that the Upper Layer receives the 'Timeout' notification within the <SIG> timeout period (e.g., 2000 ms). |       Fail: | |         - The ECU does not abort the transmission within the <SIG> timeout period. |         - The Upper Layer does not receive the 'Timeout' notification. |     Issue_Source: pylessard/python-can-isotp#67 |  | - VC_Item: |     VC_ID: VC_SYRS.0076_B.NEW.2 |     Title: Verify <SIG_14> Notification When Flow Control Frame is Delayed |     Method: |       Type: Dynamic |       Technique: Timing Analysis |     Pass_Fail_Criteria: |       Pass: | |         1. Send a First Frame (FF) to the ECU. |         2. Delay the transmission of the Flow Control (FC) frame from the receiver, ensuring it is sent after the <SIG_13> timer has expired (e.g., 1000 ms). |         3. Measure the time until the ECU aborts the transmission and issues an <SIG_14> notification. |         4. Verify that the Upper Layer receives the 'Timeout' notification within the <SIG> timeout period (e.g., 2000 ms). |       Fail: | |         - The ECU does not abort the transmission within the <SIG> timeout period. |         - The Upper Layer does not receive the 'Timeout' notification. |     Issue_Source: pylessard/python-can-isotp#50",E2,4,N,Y,Standard timeout notification validation. Low novelty.,E3,3,Y,Y,ISO 15765-2 edge case; core timing/parameter preserved,4,N,Y,Network,E1:Type2-Duplicate-Reject|follow-E2|Standard timeout notification validation. Low novelty.
018,A-<SIG>,SYRS.0349_A,Communication_Stack,"- VC_Item: |     VC_ID: VC_SYRS.0349_A.NEW.1 |     Title: ""Verify CAN Message Transmission with <SIG> Addressing"" |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Configure the ECU to use CAN extended addressing mode. |         2. Set the extended CAN ID to a 32-bit value (e.g., 0x1FFFFFFF). |         3. Monitor the CAN bus and verify that the full 32-bit extended CAN ID is used for frame transmission. |         4. Verify that the message '<SIG_15>' is <SIG>ted with the correct attributes (ID: 0xFC, DLC: 8, Cyclic). |       Fail: | |         - Truncated or incorrect 32-bit extended CAN ID observed. |         - Incorrect message attributes (ID, DLC, Cyclic) observed. |     Issue_Source: pylessard/python-can-isotp#4 |  | - VC_Item: |     VC_ID: VC_SYRS.0349_A.NEW.2 |     Title: ""Verify CAN FD Frame Padding"" |     Method: |       Type: Dynamic |       Technique: Boundary Value Analysis |     Pass_Fail_Criteria: |       Pass: | |         1. Configure the ECU to <SIG> a CAN FD frame with a payload length less than 7 bytes (e.g., 4 bytes). |         2. Set the tx_data_length to 64 and can_fd to True. |         3. Monitor the CAN bus and verify that the single-frame (SF) CAN FD frame is padded to a minimum of 8 bytes. |         4. Verify that the message '<SIG_15>' is <SIG>ted with the correct attributes (ID: 0xFC, DLC: 8, Cyclic). |       Fail: | |         - CAN FD frame not padded to 8 bytes. |         - Incorrect message attributes (ID, DLC, Cyclic) observed. |     Issue_Source: pylessard/python-can-isotp#133",E2,2,Y,N,<SIG> addressing padding logic applied incorrectly to standard addressing.,E3,3,Y,Y,<SIG> issue-based fault injection; core SYRS criterion preserved,2,Y,N,Network,E1:Type1-<SIG>-Reject|follow-E2|<SIG> addressing padding logic applied incorrectly to sta
023,A-<SIG>,SYRS.0068_B,Communication_Stack,"- VC_Item: |     VC_ID: VC_SYRS.0068_B.NEW.1 |     Title: Verify ECU Behavior with Consecutive Invalid STmin Values |     Method: |       Type: Dynamic |       Technique: Fault Injection |     Pass_Fail_Criteria: |       Pass: | |         1. Tester sends a Flow Control (FC) frame with an invalid STmin value (e.g., 0x80). |         2. Verify ECU continues sending Consecutive Frames (CF) with inter-frame gap >= 127 ms. |         3. Tester sends another FC frame with a different invalid STmin value (e.g., 0xF0). |         4. Verify ECU continues sending CF with inter-frame gap >= 127 ms and does not abort the session. |       Fail: | |         - ECU aborts the session after receiving the second invalid STmin value. |         - ECU uses a separation time < 127 ms for any of the CFs. |     Issue_Source: pylessard/python-can-isotp#32 |  | - VC_Item: |     VC_ID: VC_SYRS.0068_B.NEW.2 |     Title: Verify ECU Behavior with Mixed Valid and Invalid STmin Values |     Method: |       Type: Dynamic |       Technique: Equivalence Partitioning |     Pass_Fail_Criteria: |       Pass: | |         1. Tester sends a Flow Control (FC) frame with a valid STmin value (e.g., 0x20, 32 ms). |         2. Verify ECU sends Consecutive Frames (CF) with inter-frame gap >= 32 ms. |         3. Tester sends another FC frame with an invalid STmin value (e.g., 0xFA). |         4. Verify ECU switches to using the maximum allowed separation time of 127 ms for subsequent CFs and does not abort the session. |       Fail: | |         - ECU aborts the session after receiving the invalid STmin value. |         - ECU uses a separation time < 127 ms for any of the CFs after receiving the invalid STmin value. |     Issue_Source: pylessard/python-can-isotp#68",E2,1,N,N,Assumes STmin values 0x80-0xF0 are linear ms. Mathematically invalid per ISO-TP.,E3,3,Y,Y,ISO 15765-2 edge case; core timing/parameter preserved,1,N,N,Network,E1:Type1-<SIG>-Reject|follow-E2|Assumes STmin values 0x80-0xF0 are linear ms. Mathematically
026,A-<SIG>,SYRS.0067_A_B,Communication_Stack,"- VC_Item: |     VC_ID: VC_SYRS.0067_A_B.NEW.1 |     Title: ""Verify <SIG_21> Timer Reset and Flow Control Frame Transmission After Consecutive Frame Timeout"" |     Method: |       Type: Dynamic |       Technique: Fault Injection, Timing Analysis |     Pass_Fail_Criteria: |       Pass: | |         1. Simulate a high CPU load/buffer full condition. |         2. Inject a valid First Frame (FF). |         3. Verify that the system <SIG>s a Flow Control frame with FS=1 within 10 ms. |         4. Simulate a scenario where the sender halts consecutive frame (CF) transmission before the <SIG_23> timeout. |         5. Verify that the <SIG_21> timer is reset and the system <SIG>s another Flow Control frame with FS=1 within 10 ms after the <SIG_23> timeout. |       Fail: | |         - The system fails to send the second Flow Control frame with FS=1 after the <SIG_23> timeout. |         - The <SIG_21> timer is not reset after the <SIG_23> timeout. |     Issue_Source: pylessard/python-can-isotp#63 |  | - VC_Item: |     VC_ID: VC_SYRS.0067_A_B.NEW.2 |     Title: ""Verify System Behavior When Flow Control Frame with Overflow Status (FS=2) is Received"" |     Method: |       Type: Dynamic |       Technique: Fault Injection, Error Handling |     Pass_Fail_Criteria: |       Pass: | |         1. Simulate a high CPU load/buffer full condition. |         2. Inject a valid First Frame (FF). |         3. Verify that the system <SIG>s a Flow Control frame with FS=1 within 10 ms. |         4. Inject a Flow Control frame with FS=2 (overflow status) from the receiver. |         5. Verify that the error_handler is called and the system stops further processing of the incoming segment. |       Fail: | |         - The error_handler is not called upon receiving the Flow Control frame with FS=2. |         - The system continues to process the incoming segment or stalls silently. |     Issue_Source: pylessard/python-can-isotp#17",E2,3,Y,N,Valid logic but relies on non-deterministic resource starvation. <SIG> for CI.,E3,3,Y,Y,ISO 15765-2 edge case; core timing/parameter preserved,3,Y,N,Network,E1:Type3-CISuitability-Reject|follow-E2|Valid logic but relies on non-deterministic resource starvat
